,healthy,,,,,,,,,,,,,,,unhealthy,,,,,,,,,,,,,,,,,,
Niger,0,0.2022,0.2022,0.4044,22.2843,0.0239,5.4224,5.4463,2.5503,3.4838,1.3489,0,10.6117,42.7585,53.3702,0.1185,7.2385,1.2702,8.6272,1.4804,0.3975,1.8779,0.3666,0,0.3666,4.7,16.5,16.5,"6,339",212,0,0,24189000,%
Nigeria,0,0.0627,0.7239,0.7866,10.922,0.1976,0.173,0.3706,4.4268,0.8311,19.5271,0.0841,6.2627,48.2585,54.5212,0.0151,1.7391,0.5675,2.3217,0.4763,0.8573,1.3336,0.6501,0,0.6501,7.8,13.4,13.4,"211,887","2,895",0.001,0,206140000,%
North Macedonia,0,0.1773,0.3507,0.528,7.3937,0.2847,8.8045,9.0892,5.0893,0.2847,3.6779,0.1796,14.5512,37.933,52.4842,0.3784,12.0639,2.0683,14.5106,0.3253,0.9505,1.2758,2.9104,0,2.9104,23.9,3.2,3.2,"202,203","7,121",0.097,0.003,2080000,%
Norway,5.00E-04,0.0893,2.7466,2.8364,5.9777,0.6194,13.5227,14.1421,4.2801,0.3204,2.8097,0.099,3.9131,28.7933,32.7064,0.6119,21.1992,3.6083,25.4194,0.3113,0.8697,1.181,2.2652,0,2.2652,25,<2.5,2,"206,653",900,0.038,0,5387000,%
Oman,0,0.1888,2.0105,2.1993,9.6835,0.5741,7.6265,8.2006,9.787,0.2776,1.6984,0.0521,10.8902,36.486,47.3762,0.0571,13.5101,3.0531,16.6203,0.1338,0.6995,0.8333,2.5903,0.0077,2.598,22.9,6.8,6.8,"304,241","4,111",0.065,0.001,4713000,%
Pakistan,0.0011,0.1969,0.1831,0.3811,14.6224,0.3577,19.6466,20.0043,2.4099,0.6993,1.8202,0.0852,2.2173,27.7226,29.9399,0.0969,22.2758,1.7957,24.1684,0.3577,0.3417,0.6994,2.6707,1.7915,4.4622,7.8,20.3,20.3,"1,273,078","28,449",0.006,0,220940000,%
Panama,0.0031,0.2873,1.005,1.2954,14.2627,0.4604,5.353,5.8134,6.6783,0.4129,1.3758,0.036,1.948,37.6619,39.6099,0.2467,12.3346,4.98,17.5613,0.4589,0.7645,1.2234,4.2277,0,4.2277,22.5,10,10,"472,534","7,315",0.11,0.002,4283000,%
Paraguay,0,0.4675,0.3119,0.7794,7.5639,0.9035,5.3208,6.2243,5.4532,0.6185,12.5302,0.0015,3.7113,38.726,42.4373,0.2191,11.2654,4.0434,15.5279,0.2745,1.0733,1.3478,2.4084,0,2.4084,19,10.7,10.7,"460,974","16,245",0.064,0.002,7255000,%
Peru,0.0014,0.3629,1.7993,2.1636,11.814,0.6431,4.0729,4.716,8.5783,0.6367,8.7924,0.023,4.8044,41.3344,46.1388,0.0316,8.6638,1.754,10.4494,0.2458,0.5066,0.7524,1.7339,0,1.7339,19.1,9.7,9.7,"2,200,908","200,217",0.067,0.006,32824000,%
Philippines,0,0.2717,2.4506,2.7223,20.0498,0.3527,0.1045,0.4572,8.5466,0.1106,2.8773,0.1838,5.4481,43.2905,48.7386,0.3074,6.7108,3.2257,10.2439,0.5425,0.4119,0.9544,2.3774,0,2.3774,6,13.3,13.3,"2,783,896","43,044",0.025,0,109581000,%
Poland,0,0.017,0.5845,0.6015,7.9033,0.3702,9.7542,10.1244,3.0079,0.1099,5.5631,0.0476,6.8655,33.439,40.3045,0.9842,16.559,4.85,22.3932,0.0798,0.3959,0.4757,2.4775,0,2.4775,25.6,<2.5,2,"3,018,100","76,990",0.079,0.002,38368000,%
Portugal,5.00E-04,0.2079,2.7295,2.9379,6.2984,0.4053,10.3936,10.7989,6.5126,0.1618,3.106,0.2319,7.3366,31.3374,38.674,0.4077,18.6614,4.5168,23.5859,0.0965,0.7246,0.8211,1.7316,0,1.7316,23.2,<2.5,2,"1,089,888","18,156",0.106,0.002,10255000,%
Republic of Moldova,0,0.1694,0.991,1.1604,11.6462,0.6795,10.9992,11.6787,3.4256,0.0642,3.9066,0.018,6.4285,33.464,39.8925,0.4339,16.5343,3.2622,20.2304,0.0616,0.825,0.8866,2.6632,0,2.6632,20.1,NA,NA,"337,115","7,751",0.095,0.002,3535000,%
Romania,0,0.1594,0.2844,0.4438,8.0412,0.6848,11.4018,12.0866,4.2115,0.1045,4.713,0.1093,9.3641,34.0679,43.432,0.3474,15.9287,3.0499,19.326,0.0974,0.7301,0.8275,1.4126,0,1.4126,24.5,<2.5,2,"1,640,607","47,324",0.085,0.002,19241000,%
Russian Federation,0.0023,0.2249,1.1312,1.3584,8.2803,0.9029,9.3253,10.2282,3.162,0.1426,6.3194,0.0118,6.3713,33.8472,40.2185,0.2486,16.1525,4.318,20.7191,0.1319,0.8663,0.9982,4.6144,0,4.6144,25.7,<2.5,2,,,0,0,146733000,%
Rwanda,0,0.0855,0.5279,0.6134,3.538,0.0269,1.3521,1.379,15.7285,2.5036,20.4415,0,2.7193,47.3634,50.0827,0.0186,2.6366,0.6257,3.2809,0.2233,0.2109,0.4342,0.5782,0,0.5782,4.8,36.8,36.8,"99,681","1,328",0.008,0,12952000,%
Saint Kitts and Nevis,0,0.3318,3.4174,3.7492,6.3135,0.3868,1.895,2.2818,7.5449,0.5422,2.715,0.0673,4.209,35.9677,40.1767,0.1735,14.0252,7.8207,22.0194,0.947,1.385,2.332,6.4623,0,6.4623,23.1,NA,NA,"2,669",23,0.049,0,54000,%
Saint Lucia,9.00E-04,0.4063,3.0652,3.4724,7.2091,0.3326,2.8881,3.2207,5.9453,0.5663,2.6427,0.0575,4.1169,35.0964,39.2133,0.0252,14.8893,8.17,23.0845,0.6274,0.6103,1.2377,3.7043,0,3.7043,19.8,NA,NA,"12,559",255,0.069,0.001,182000,%
Saint Vincent and the Grenadines,0,0.1672,1.3785,1.5457,9.0142,0.3412,2.2593,2.6005,10.471,0.6452,4.3734,0.0357,5.1371,38.9005,44.0376,0.022,11.0865,6.9184,18.0269,0.1049,0.7227,0.8276,3.4592,0,3.4592,23.8,5.7,5.7,"4,951",66,0.045,0.001,111000,%
Samoa,0.1236,0.1398,2.7788,3.0422,3.6768,0.1314,1.9647,2.0961,10.7845,0,7.6944,0.0108,1.1656,38.8349,40.0005,0.2262,11.163,5.7993,17.1885,10.5187,0.5117,11.0304,2.0811,0.0036,2.0847,45.5,2.7,2.7,,,0,0,2.00E+05,%
Sao Tome and Principe,0,0.0187,2.3033,2.322,7.3796,0.0562,0.5152,0.5714,18.2736,0.3109,3.7154,0.0024,0.857,45.8801,46.7371,0.022,4.1199,1.2054,5.3473,9.9865,0.7805,10.767,2.5939,0,2.5939,10.6,7,7,"3,712",56,0.018,0,210000,%
Saudi Arabia,0,0.1547,1.0369,1.1916,16.3284,0.6003,5.8598,6.4601,7.0413,0.4768,1.4542,0.1135,5.7024,37.0038,42.7062,0.3917,12.9962,4.9529,18.3408,0.1492,1.7626,1.9118,2.8571,9.00E-04,2.858,35,7.1,7.1,"548,571","8,793",0.016,0,35041000,%
Senegal,0,0.206,2.0588,2.2648,25.9204,0.1878,1.2496,1.4374,2.3456,0.4712,2.6177,0.1047,7.8951,44.6423,52.5374,0.0353,5.3434,1.6081,6.9868,0.7637,1.9325,2.6962,2.0941,0,2.0941,7.4,11.3,11.3,"73,917","1,878",0.004,0,16744000,%
Serbia,0,0.2389,0.4148,0.6537,9.7485,0.6322,11.619,12.2512,5.9753,0.1805,2.545,0.1268,7.3941,33.2476,40.6417,0.2524,16.7466,3.5893,20.5883,0.1322,0.4644,0.5966,2.0255,7.00E-04,2.0262,23.5,5.7,5.7,"1,137,820","9,890",0.164,0.001,6957000,%
Sierra Leone,0,0.0857,2.5044,2.5901,19.9349,0.1343,2.1711,2.3054,3.2119,0.8913,12.4228,0.1,4.5526,44.3138,48.8664,0.0067,5.6877,0.7837,6.4781,0.5999,1.276,1.8759,0.6323,0,0.6323,7.5,25.6,25.6,"6,397",121,0.001,0,7977000,%
Slovakia,0,0.2055,0.7045,0.91,5.4026,0.939,11.4696,12.4086,3.5463,0.0973,3.6814,0.1118,4.5601,31.0231,35.5832,1.3559,18.9841,4.3096,24.6496,0.2055,1.438,1.6435,5.5166,0,5.5166,22.4,3.4,3.4,"479,737","13,018",0.088,0.002,5462000,%
Slovenia,5.00E-04,0.1879,0.6515,0.8399,7.6345,0.5376,12.2569,12.7945,6.4367,0.1106,2.6837,0.1972,5.002,31.0774,36.0794,1.1248,18.9196,4.161,24.2054,0.1285,0.4739,0.6024,2.4915,0,2.4915,22.5,<2.5,2,"334,188","4,739",0.159,0.002,2103000,%
Solomon Islands,0.0121,0.0394,2.284,2.3355,9.0233,0.0826,0.438,0.5206,3.2798,0.7366,24.25,0.0356,1.1223,46.1492,47.2715,0.1038,3.8504,0.8897,4.8439,5.0334,0.3327,5.3661,0.8268,0,0.8268,20.5,8.9,8.9,,,0,0,715000,%
South Africa,9.00E-04,0.4448,0.5365,0.9822,17.1035,0.594,4.8155,5.4095,1.9355,0.1546,2.8503,0.0108,3.7632,38.1554,41.9186,0.0593,11.8433,5.3933,17.2959,0.2462,1.1726,1.4188,4.4677,0,4.4677,27,6.2,6.2,"2,921,886","89,163",0.049,0.001,59628000,%
Spain,0.0011,0.1605,2.2646,2.4262,6.0548,0.7321,9.5991,10.3312,4.8332,0.2666,3.0975,0.4287,7.8139,31.6581,39.472,0.2357,18.3382,5.3456,23.9195,0.265,1.5122,1.7772,1.8482,0,1.8482,27.1,<2.5,2,"5,011,148","87,368",0.105,0.002,47635000,%
Sri Lanka,0.0039,0.0998,3.0173,3.121,20.7839,0.4178,1.0948,1.5126,4.1171,0.9608,1.9793,0.135,4.8753,44.4618,49.3371,0.0147,5.5328,0.8845,6.432,7.1364,0.2466,7.383,2.7209,0,2.7209,5.4,9,9,"539,981","13,725",0.025,0.001,21937000,%
Sudan,0,0.2796,0.1018,0.3814,12.9192,0.1176,10.4116,10.5292,7.0919,1.0631,1.9167,0,8.3477,36.8813,45.229,0.0958,13.1178,2.1133,15.3269,0.492,0.9366,1.4286,3.1231,0.7262,3.8493,7.4,20.1,20.1,"40,433",3099,0.001,0,43849000,%
Suriname,0,0.0576,1.4348,1.4924,13.9476,0.5407,1.0789,1.6196,8.6872,0.1719,2.4553,0.0155,5.3705,43.1917,48.5622,0.0438,6.7984,3.6451,10.4873,0.6757,1.3351,2.0108,4.7051,0.3207,5.0258,26.5,8.5,8.5,"48,964","1,090",0.081,0.002,605000,%
Sweden,0,0.0086,1.7659,1.7745,6.1923,0.7266,16.3687,17.0953,3.5405,0.0937,2.8343,0.0996,4.611,25.9282,30.5392,1.0442,24.0627,4.1476,29.2545,0.1712,0.3967,0.5679,2.5211,0,2.5211,22.1,<2.5,2,"1,171,512","15,025",0.113,0.001,10377000,%
Switzerland,0.0022,0.1549,0.9109,1.068,5.9818,0.5377,16.706,17.2437,4.6041,0.0995,2.1542,0.2377,4.9478,27.5705,32.5183,0.4802,22.4227,3.6314,26.5343,0.1124,1.0637,1.1761,2.9737,0,2.9737,21.2,<2.5,2,"872,558","11,233",0.101,0.001,8634000,%
Taiwan*,0.0281,0.1507,2.3182,2.497,10.0808,1.09,2.3299,3.4199,8.3904,0.2077,0.8565,0.4185,9.1938,37.8684,47.0622,0.1577,12.1312,6.0558,18.3447,1.0736,1.8271,2.9007,2.3455,0.2826,2.6281,NA,3.5,3.5,"16,406",847,0.001,0,23610000,%
Tajikistan,0,0.2144,0.0342,0.2486,13.3691,0.2255,5.2373,5.4628,3.7863,0.2486,2.9278,0.0582,19.2995,42.7642,62.0637,0.0018,7.2363,1.5221,8.7602,0.1349,0.8419,0.9768,1.6607,0,1.6607,12.6,NA,NA,"17,486",125,0.002,0,9429000,%
Thailand,0.0325,0.1199,2.6297,2.7821,17.5571,1.1143,1.3279,2.4422,8.3291,0.2344,1.8887,0.0938,3.5962,42.2145,45.8107,0.0902,7.7828,2.4675,10.3405,1.2775,0.7816,2.0591,4.0424,0,4.0424,10.8,7.8,7.8,"1,903,165","19,158",0.029,0,66534000,%
Timor-Leste,0,0.1153,1.0225,1.1378,26.332,0.1025,0.1307,0.2332,2.1027,0.9098,5.5022,0.0013,3.1867,44.503,47.6897,0.0897,5.4983,4.0376,9.6256,0.5612,0.6842,1.2454,2.8203,0,2.8203,2.9,24.9,24.9,"19,789",122,0.015,0,1318000,%
Togo,0,0.0775,1.3178,1.3953,15.8144,0.1067,0.7246,0.8313,0.91,1.7626,20.0654,0,2.1637,46.3287,48.4924,0.0292,3.6702,1.4133,5.1127,0.4718,1.4099,1.8817,1.8312,0,1.8312,7.1,16.1,16.1,"26,068",242,0.003,0,8279000,%
Trinidad and Tobago,0,0.1837,2.3299,2.5136,13.0903,0.4044,2.8789,3.2833,4.9733,0.8939,3.5148,0.0928,3.5256,37.2145,40.7401,0.2804,12.7835,6.7063,19.7702,1.2016,1.2563,2.4579,5.62,0,5.62,19.7,5.5,5.5,"57,121","1,682",0.042,0.001,1369000,%
Tunisia,0,0.0926,0.7615,0.8541,12.0523,0.4508,6.4775,6.9283,5.4307,0.4311,1.7724,0.3489,15.7731,40.3673,56.1404,0.2083,9.6312,1.6411,11.4806,0.2031,1.2551,1.4582,2.0832,0,2.0832,27.3,4.3,4.3,"712,318","25,231",0.06,0.002,11896000,%
Turkey,0,0.0857,0.2582,0.3439,9.708,0.3956,9.3619,9.7575,6.8321,0.682,2.4947,0.4664,13.5284,37.6836,51.212,0.1459,12.3156,2.0694,14.5309,0.272,1.0174,1.2894,1.7004,0,1.7004,32.2,<2.5,2,"8,009,010","70,410",0.096,0.001,83737000,%
Turkmenistan,0,0.0589,0.2137,0.2726,14.8029,0.5139,10.5606,11.0745,4.1441,0.1032,2.3,0.0283,10.4014,33.9389,44.3403,0.3373,16.0611,4.3767,20.7751,0.0661,0.5655,0.6316,0.6746,0,0.6746,17.5,5.4,5.4,,,0,0,6031000,%
Uganda,0,0.113,1.0442,1.1572,6.748,0.0815,3.4755,3.557,11.3112,2.3942,12.361,0,2.6703,44.3536,47.0239,0.0352,5.6473,0.8978,6.5803,0.6338,0.744,1.3778,1.2601,0,1.2601,4.1,41,41,"126,075",3215,0.003,0,45741000,%
Ukraine,6.00E-04,0.1339,0.6821,0.8166,9.3613,0.8434,8.5442,9.3876,2.9418,0.1099,7.6721,0.0807,9.4361,36.8777,46.3138,0.1753,13.1214,2.7425,16.0392,0.0175,0.647,0.6645,3.8811,0,3.8811,26.1,3.5,3.5,"3,039,616","71,710",0.073,0.002,41778000,%
United Arab Emirates,0,0.2095,1.9682,2.1777,12.906,0.5958,2.6468,3.2426,8.1938,2.1108,0.8937,0.5838,8.2695,39.4461,47.7156,0.1896,10.5491,4.94,15.6787,0.6133,0.7949,1.4082,3.6576,0,3.6576,29.9,2.6,2.6,"739,824","2,136",0.076,0,9778000,%
United Kingdom,6.00E-04,0.1056,1.0911,1.1973,6.5412,0.621,12.3684,12.9894,4.9551,0.2035,5.1133,0.0901,4.5851,31.1116,35.6967,0.2754,18.8798,4.4181,23.5733,0.224,0.7372,0.9612,2.4383,0,2.4383,29.5,<2.5,2,"9,062,710","140,981",0.135,0.002,67160000,%
United Republic of Tanzania,0,0,0.5828,0.5828,10.4453,0.03,3.3606,3.3906,6.8147,2.1761,13.937,0.042,3.952,45.1973,49.1493,0.0403,4.8022,0.7902,5.6327,1.2839,0.9136,2.1975,1.0345,0,1.0345,7.1,30.7,30.7,"26,154",725,0,0,59734000,%
United States of America,0.002,0.0197,1.1287,1.1504,5.5048,0.786,12.8657,13.6517,4.5432,0.1893,2.839,0.1772,5.7249,28.7587,34.4836,0.1681,21.2352,6.2645,27.6678,0.3246,0.9889,1.3135,3.32,0,3.32,37.3,<2.5,2,"45,953,186","745,668",0.139,0.002,329878000,%
Uruguay,0,0.1168,0.6058,0.7226,10.251,0.7764,12.3906,13.167,5.3746,0.1936,3.044,0.0131,3.9333,32.1076,36.0409,0.21,17.8865,3.7863,21.8828,0.277,1.0337,1.3107,3.4102,0,3.4102,28.9,<2.5,2,"393,718","6,077",0.112,0.002,3531000,%
Uzbekistan,0,0.1748,0.1218,0.2966,10.5365,0.3566,11.7952,12.1518,5.215,0.0022,2.8891,0.0649,14.8354,35.554,50.3894,0.1353,14.4463,1.8621,16.4437,0.0287,0.6109,0.6396,0.5796,0,0.5796,15.3,6.3,6.3,"185,647",1321,0.005,0,34174000,%
Vanuatu,0,0.1776,2.1649,2.3425,6.4102,0.1875,1.2692,1.4567,5.8103,8.00E-04,12.7275,0.0038,3.9175,43.3737,47.2912,0.0793,6.6244,2.7466,9.4503,12.1763,0.3674,12.5437,1.3645,0,1.3645,23.5,7.2,7.2,,,0,0,321000,%
Venezuela (Bolivarian Republic of),0,0.2078,0.9456,1.1534,12.9253,0.3389,9.392,9.7309,7.646,0.3342,2.5643,9.00E-04,4.1474,35.2416,39.389,0.0403,14.7565,3.8328,18.6296,0.0281,1.3734,1.4015,3.4106,0,3.4106,25.2,21.2,21.2,"406,239","4,884",0.014,0,28645000,%
Vietnam,0.0042,0.4149,2.6392,3.0583,16.874,0.3077,0.6069,0.9146,5.9029,0.2032,1.0596,0.307,11.9508,41.4232,53.374,0.164,8.5765,4.4382,13.1787,0.841,0.2201,1.0611,1.2846,0.815,2.0996,2.1,9.3,9.3,"915,603","22,030",0.01,0,96209000,%
Yemen,0,0.2827,0.524,0.8067,27.2077,0.2579,1.8911,2.149,5.1344,0.8645,1.0794,0.0017,3.2135,44.2126,47.4261,0.0446,5.7874,2.7871,8.6191,0.0893,1.0811,1.1704,5.0468,0,5.0468,14.1,38.9,38.9,"9,779","1,880",0,0,29826000,%
Zambia,0,0.3048,1.6924,1.9972,21.1938,0.3399,1.757,2.0969,1.0183,0.1756,7.9649,0.0014,3.4649,43.9789,47.4438,0.0829,6.0197,1.8427,7.9453,1.8736,0.6657,2.5393,1.5632,0,1.5632,6.5,46.7,46.7,"209,722","3,661",0.011,0,18384000,%
Zimbabwe,0,0.2086,0.5518,0.7604,22.624,0.2678,4.431,4.6988,2.2,0.4261,2.987,0.0518,2.3213,41.8526,44.1739,0.0755,8.1489,2.6142,10.8386,0.4498,1.7103,2.1601,4.6485,0,4.6485,12.3,51.3,51.3,"132,926","4,675",0.009,0,14863000,%
